seed,number,grid_nodes,horizon,dt,t_max,num_modules,Q,c_km,c_uns_taxi,num_requests,served,served_ratio,q_min,q_max,slack_min,depot,N_size,A_size,K_size,M_size,status,objective,mip_gap,solve_time_sec,total_time_sec,output_folder,network_path,requests_path,exp_id
42,4,16,100,5,20,1,10,1.0,100,10,5,0.5,1,3,30.0,0,16,48,10,1,JobSolveStatus.OPTIMAL_SOLUTION,845.0,0.0,0.09710638199976529,0.15285896500063245,results/GRID/4x4/tmax100_dt5/run1,instances/GRID/4x4/network_disc5min.json,instances/GRID/4x4/taxi_like_requests_100maxmin_disc5min.json,1
42,4,16,100,5,20,3,10,1.0,100,10,9,0.9,1,3,30.0,0,16,48,10,3,JobSolveStatus.FEASIBLE_SOLUTION,193.0,0.1950777202071527,600.0190463850013,600.5399829380003,results/GRID/4x4/tmax100_dt5/run2,instances/GRID/4x4/network_disc5min.json,instances/GRID/4x4/taxi_like_requests_100maxmin_disc5min.json,2
42,4,16,100,5,20,5,10,1.0,100,10,9,0.9,1,3,30.0,0,16,48,10,5,JobSolveStatus.FEASIBLE_SOLUTION,250.0,0.8484307442004501,600.0593323959984,601.5477963060002,results/GRID/4x4/tmax100_dt5/run3,instances/GRID/4x4/network_disc5min.json,instances/GRID/4x4/taxi_like_requests_100maxmin_disc5min.json,3
