exp_id,model_name,num_Nw,seed,number,grid_nodes,horizon,dt,t_max,num_modules,Q,c_km,c_uns_taxi,num_requests,served,served_ratio,q_min,q_max,slack_min,depot,N_size,A_size,K_size,M_size,status,objective,mip_gap,solve_time_sec,total_time_sec,output_folder,network_path,requests_path
n3_h60_m2_r5,base,2,23,3,9,60,5,12,2,10,1.0,100,5,5,1.0,1,3,30.0,0,9,24,5,2,JobSolveStatus.OPTIMAL_SOLUTION,13.428765151176549,0.0,0.11895395800820552,0.23816237502614968,results/GRID/3x3/tmax60_dt5/n3_h60_m2_r5/base,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_60maxmin_disc5min.json
n3_h60_m2_r5,LR,2,23,3,9,60,5,12,2,10,1.0,100,5,5,1.0,1,3,30.0,0,9,24,5,2,JobSolveStatus.OPTIMAL_SOLUTION,13.428765151176549,0.0,0.08626659898436628,0.12659428600454703,results/GRID/3x3/tmax60_dt5/n3_h60_m2_r5/LR,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_60maxmin_disc5min.json
n3_h60_m2_r5,ab,2,23,3,9,60,5,12,2,10,1.0,100,5,5,1.0,1,3,30.0,0,9,24,5,2,JobSolveStatus.OPTIMAL_SOLUTION,25.231382428302595,0.0,0.0929466989764478,0.15797797701088712,results/GRID/3x3/tmax60_dt5/n3_h60_m2_r5/ab,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_60maxmin_disc5min.json
n3_h60_m2_r5,ab_LR,2,23,3,9,60,5,12,2,10,1.0,100,5,5,1.0,1,3,30.0,0,9,24,5,2,JobSolveStatus.OPTIMAL_SOLUTION,25.23138242830254,0.0,0.19165782802156173,0.23126729400246404,results/GRID/3x3/tmax60_dt5/n3_h60_m2_r5/ab_LR,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_60maxmin_disc5min.json
