seed,number,grid_nodes,horizon,dt,t_max,num_modules,Q,c_km,c_uns_taxi,num_requests,served,served_ratio,q_min,q_max,slack_min,depot,N_size,A_size,K_size,M_size,status,objective,mip_gap,solve_time_sec,total_time_sec,output_folder,network_path,requests_path,exp_id
23,3,9,600,5,120,1,10,1.0,100,20,10,0.5,1,3,20.0,0,9,24,20,1,JobSolveStatus.OPTIMAL_SOLUTION,1314.7704695664365,0.0,1.2169792390050134,1.359514355994179,results/GRID/3x3/tmax600_dt5/run1,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_600maxmin_disc5min.json,1
23,3,9,600,5,120,3,10,1.0,100,20,16,0.8,1,3,20.0,0,9,24,20,3,JobSolveStatus.OPTIMAL_SOLUTION,559.3767906443427,9.968168306829885e-05,1455.7075853970018,1456.0012279989896,results/GRID/3x3/tmax600_dt5/run2,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_600maxmin_disc5min.json,2
23,5,25,600,5,120,1,10,1.0,100,20,5,0.25,1,3,20.0,0,25,80,20,1,JobSolveStatus.OPTIMAL_SOLUTION,2397.4397237432768,0.0,2.984757393001928,3.333472747995984,results/GRID/5x5/tmax600_dt5/run3,instances/GRID/5x5/network_disc5min.json,instances/GRID/5x5/taxi_like_requests_600maxmin_disc5min.json,3
23,5,25,600,5,120,3,10,1.0,100,20,7,0.35,1,3,20.0,0,25,80,20,3,JobSolveStatus.OPTIMAL_SOLUTION,2217.2253329744444,8.150798324817453e-05,618.7886763179995,619.7412714789971,results/GRID/5x5/tmax600_dt5/run4,instances/GRID/5x5/network_disc5min.json,instances/GRID/5x5/taxi_like_requests_600maxmin_disc5min.json,4
23,8,64,600,5,120,1,10,1.0,100,20,1,0.05,1,3,20.0,0,64,224,20,1,JobSolveStatus.OPTIMAL_SOLUTION,3534.1396135524155,0.0,10.889288366990513,11.990523396001663,results/GRID/8x8/tmax600_dt5/run5,instances/GRID/8x8/network_disc5min.json,instances/GRID/8x8/taxi_like_requests_600maxmin_disc5min.json,5
23,8,64,600,5,120,3,10,1.0,100,20,1,0.05,1,3,20.0,0,64,224,20,3,JobSolveStatus.OPTIMAL_SOLUTION,3534.1396135524155,8.130267936530434e-05,102.187154173007,105.20686134698917,results/GRID/8x8/tmax600_dt5/run6,instances/GRID/8x8/network_disc5min.json,instances/GRID/8x8/taxi_like_requests_600maxmin_disc5min.json,6
