seed,number,grid_nodes,horizon,dt,t_max,num_modules,Q,c_km,c_uns_taxi,num_requests,served,served_ratio,q_min,q_max,slack_min,depot,N_size,A_size,K_size,M_size,status,objective,mip_gap,solve_time_sec,total_time_sec,output_folder,network_path,requests_path,exp_id
23,3,9,100,5,20,1,10,1.0,100,10,3,0.3,1,3,20.0,0,9,24,10,1,JobSolveStatus.OPTIMAL_SOLUTION,730.6111142636503,0.0,0.06267111499619205,0.106737443995371,results/GRID/3x3/tmax100_dt5/run1,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_100maxmin_disc5min.json,1
23,3,9,100,5,20,3,10,1.0,100,10,3,0.3,1,3,20.0,0,9,24,10,3,JobSolveStatus.OPTIMAL_SOLUTION,730.6111142636503,0.0,0.07119695299479645,0.14466607000213116,results/GRID/3x3/tmax100_dt5/run2,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_100maxmin_disc5min.json,2
23,3,9,100,5,20,5,10,1.0,100,10,3,0.3,1,3,20.0,0,9,24,10,5,JobSolveStatus.OPTIMAL_SOLUTION,730.6111142636503,0.0,0.08923111399781192,0.2285787770015304,results/GRID/3x3/tmax100_dt5/run3,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_100maxmin_disc5min.json,3
