exp_id,model_name,num_Nw,seed,number,grid_nodes,horizon,dt,t_max,num_modules,Q,c_km,c_uns_taxi,num_requests,served,served_ratio,q_min,q_max,slack_min,depot,N_size,A_size,K_size,M_size,status,objective,mip_gap,solve_time_sec,total_time_sec,output_folder,network_path,requests_path
n3_h100_m3_r10,base,2,23,3,9,100,5,20,3,10,1.0,100,10,9,0.9,1,3,30.0,0,9,24,10,3,JobSolveStatus.OPTIMAL_SOLUTION,155.112833103281,0.0,5.869245940004475,5.999078251013998,results/GRID/3x3/tmax100_dt5/n3_h100_m3_r10/base,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_100maxmin_disc5min.json
n3_h100_m3_r10,LR,2,23,3,9,100,5,20,3,10,1.0,100,10,9,0.9,1,3,30.0,0,9,24,10,3,JobSolveStatus.OPTIMAL_SOLUTION,131.1935181377596,0.0,0.7861230710113887,0.9005696460080799,results/GRID/3x3/tmax100_dt5/n3_h100_m3_r10/LR,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_100maxmin_disc5min.json
n3_h100_m3_r10,ab,2,23,3,9,100,5,20,3,10,1.0,100,10,10,1.0,1,3,30.0,0,9,24,10,3,JobSolveStatus.OPTIMAL_SOLUTION,58.62040810519966,0.0,44.25287532599759,44.374845306010684,results/GRID/3x3/tmax100_dt5/n3_h100_m3_r10/ab,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_100maxmin_disc5min.json
n3_h100_m3_r10,ab_LR,2,23,3,9,100,5,20,3,10,1.0,100,10,10,1.0,1,3,30.0,0,9,24,10,3,JobSolveStatus.OPTIMAL_SOLUTION,58.62040810519966,0.0,318.1977137469803,318.29646440499346,results/GRID/3x3/tmax100_dt5/n3_h100_m3_r10/ab_LR,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_100maxmin_disc5min.json
