seed,number,grid_nodes,horizon,dt,t_max,num_modules,Q,c_km,c_uns_taxi,num_requests,served,served_ratio,q_min,q_max,slack_min,depot,N_size,A_size,K_size,M_size,status,objective,mip_gap,solve_time_sec,total_time_sec,output_folder,network_path,requests_path,exp_id
23,3,9,100,5,20,1,10,1.0,100,10,3,0.3,1,3,20.0,0,9,24,10,1,JobSolveStatus.OPTIMAL_SOLUTION,716.5405085867453,0.0,0.06254447800165508,0.1035152120020939,results/GRID/3x3/tmax100_dt5/run1,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_100maxmin_disc5min.json,1
23,3,9,100,5,20,3,10,1.0,100,10,8,0.8,1,3,20.0,0,9,24,10,3,JobSolveStatus.OPTIMAL_SOLUTION,259.2052116756854,0.0,1.4723569710040465,1.5420785359892761,results/GRID/3x3/tmax100_dt5/run2,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_100maxmin_disc5min.json,2
23,3,9,100,5,20,5,10,1.0,100,10,8,0.8,1,3,20.0,0,9,24,10,5,JobSolveStatus.OPTIMAL_SOLUTION,254.38844543456537,9.783373999587416e-05,83.36160114599625,83.55307125700347,results/GRID/3x3/tmax100_dt5/run3,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_100maxmin_disc5min.json,3
