exp_id,model_name,num_Nw,seed,number,grid_nodes,horizon,dt,t_max,num_modules,Q,c_km,c_uns_taxi,num_requests,served,served_ratio,q_min,q_max,slack_min,depot,N_size,A_size,K_size,M_size,status,objective,mip_gap,solve_time_sec,total_time_sec,output_folder,network_path,requests_path
n3_h60_m2_r11,base,3,23,3,9,60,3,20,2,10,1.0,100,11,9,0.8181818181818182,1,10,20.0,0,9,24,11,2,JobSolveStatus.OPTIMAL_SOLUTION,213.1858645159632,0.0,15.669505348996609,15.772535773998243,results/GRID/3x3/tmax60_dt3/n3_h60_m2_r11/base,instances/GRID/3x3/network_disc3min.json,instances/GRID/3x3/taxi_like_requests_60maxmin_disc3min.json
n3_h60_m2_r11,ab,3,23,3,9,60,3,20,2,10,1.0,100,11,9,0.8181818181818182,1,10,20.0,0,9,24,11,2,JobSolveStatus.OPTIMAL_SOLUTION,235.9190746502727,0.0,3.6024350180086913,3.7901862659928156,results/GRID/3x3/tmax60_dt3/n3_h60_m2_r11/ab,instances/GRID/3x3/network_disc3min.json,instances/GRID/3x3/taxi_like_requests_60maxmin_disc3min.json
n3_h60_m2_r11,ab_LR,3,23,3,9,60,3,20,2,10,1.0,100,11,9,0.8181818181818182,1,10,20.0,0,9,24,11,2,JobSolveStatus.OPTIMAL_SOLUTION,235.9190746502727,0.0,4.443795995000983,4.543998192995787,results/GRID/3x3/tmax60_dt3/n3_h60_m2_r11/ab_LR,instances/GRID/3x3/network_disc3min.json,instances/GRID/3x3/taxi_like_requests_60maxmin_disc3min.json
