exp_id,model_name,num_Nw,seed,number,grid_nodes,horizon,dt,t_max,num_modules,Q,c_km,c_uns_taxi,num_requests,served,served_ratio,q_min,q_max,slack_min,depot,N_size,A_size,K_size,M_size,status,objective,mip_gap,solve_time_sec,total_time_sec,output_folder,network_path,requests_path
n4_h60_m2_r15,ab,4,23,4,16,60,5,12,2,10,1.0,100,15,4,0.26666666666666666,1,10,20.0,0,16,48,15,2,JobSolveStatus.OPTIMAL_SOLUTION,1535.1157230044055,0.0,1.385462127999972,1.5017106139999896,results/GRID/4x4/tmax60_dt5/n4_h60_m2_r15/ab,instances/GRID/4x4/network_disc5min.json,instances/GRID/4x4/taxi_like_requests_60maxmin_disc5min.json
n4_h60_m2_r15,ab_plat,4,23,4,16,60,5,12,2,10,1.0,100,15,4,0.26666666666666666,1,10,20.0,0,16,48,15,2,JobSolveStatus.OPTIMAL_SOLUTION,1536.8715091546255,0.0,1.150605220999978,1.2930317180000657,results/GRID/4x4/tmax60_dt5/n4_h60_m2_r15/ab_plat,instances/GRID/4x4/network_disc5min.json,instances/GRID/4x4/taxi_like_requests_60maxmin_disc5min.json
n4_h60_m2_r15,ab_LR,4,23,4,16,60,5,12,2,10,1.0,100,15,4,0.26666666666666666,1,10,20.0,0,16,48,15,2,JobSolveStatus.OPTIMAL_SOLUTION,1535.1157230044055,0.0,1.6930437949999941,1.9001481849999209,results/GRID/4x4/tmax60_dt5/n4_h60_m2_r15/ab_LR,instances/GRID/4x4/network_disc5min.json,instances/GRID/4x4/taxi_like_requests_60maxmin_disc5min.json
n4_h60_m2_r15,ab_LR_plat,4,23,4,16,60,5,12,2,10,1.0,100,15,4,0.26666666666666666,1,10,20.0,0,16,48,15,2,JobSolveStatus.OPTIMAL_SOLUTION,1536.8715091546253,0.0,2.2979957009999907,2.427064825000002,results/GRID/4x4/tmax60_dt5/n4_h60_m2_r15/ab_LR_plat,instances/GRID/4x4/network_disc5min.json,instances/GRID/4x4/taxi_like_requests_60maxmin_disc5min.json
