seed,number,grid_nodes,horizon,dt,t_max,num_modules,Q,c_km,c_uns_taxi,num_requests,q_min,q_max,slack_min,depot,N_size,A_size,K_size,M_size,status,objective,mip_gap,solve_time_sec,total_time_sec,output_folder,network_path,requests_path,exp_id
42,3,9,100,5,20,1,10,1.0,100,10,1,3,30.0,0,9,24,10,1,JobSolveStatus.OPTIMAL_SOLUTION,1111.0,0.0,0.07597075200101244,0.12124937699991278,results/GRID/3x3/tmax100_dt5,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_100maxmin_disc5min.json,1
42,3,9,100,5,20,3,10,1.0,100,10,1,3,30.0,0,9,24,10,3,JobSolveStatus.OPTIMAL_SOLUTION,624.0,0.0,236.81916430599813,237.37376281199977,results/GRID/3x3/tmax100_dt5,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_100maxmin_disc5min.json,2
42,3,9,100,5,20,5,10,1.0,100,10,1,3,30.0,0,9,24,10,5,JobSolveStatus.FEASIBLE_SOLUTION,624.0,0.022031305315325496,600.0486974820014,601.7183731590012,results/GRID/3x3/tmax100_dt5,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_100maxmin_disc5min.json,3
