exp_id,model_name,num_Nw,seed,number,grid_nodes,horizon,dt,t_max,num_modules,Q,c_km,c_uns_taxi,num_requests,served,served_ratio,q_min,q_max,slack_min,depot,N_size,A_size,K_size,M_size,status,objective,mip_gap,solve_time_sec,total_time_sec,output_folder,network_path,requests_path
n7_h60_m2_r15,base,36,23,7,49,60,5,12,2,10,1.0,1000,15,11,0.7333333333333333,1,3,30.0,0,49,168,15,2,JobSolveStatus.OPTIMAL_SOLUTION,4022.791812577718,0.0,3.0065940160129685,3.5465878630056977,results/GRID/7x7/tmax60_dt5/n7_h60_m2_r15/base,instances/GRID/7x7/network_disc5min.json,instances/GRID/7x7/taxi_like_requests_60maxmin_disc5min.json
n7_h60_m2_r15,LR,36,23,7,49,60,5,12,2,10,1.0,1000,15,11,0.7333333333333333,1,3,30.0,0,49,168,15,2,JobSolveStatus.OPTIMAL_SOLUTION,4022.791812577718,0.0,8.8731192839914,9.527061266009696,results/GRID/7x7/tmax60_dt5/n7_h60_m2_r15/LR,instances/GRID/7x7/network_disc5min.json,instances/GRID/7x7/taxi_like_requests_60maxmin_disc5min.json
n7_h60_m2_r15,ab,36,23,7,49,60,5,12,2,10,1.0,1000,15,6,0.4,1,3,30.0,0,49,168,15,2,JobSolveStatus.OPTIMAL_SOLUTION,14039.89816637361,0.0,1.0640421429998241,1.582797902985476,results/GRID/7x7/tmax60_dt5/n7_h60_m2_r15/ab,instances/GRID/7x7/network_disc5min.json,instances/GRID/7x7/taxi_like_requests_60maxmin_disc5min.json
n7_h60_m2_r15,ab_LR,36,23,7,49,60,5,12,2,10,1.0,1000,15,6,0.4,1,3,30.0,0,49,168,15,2,JobSolveStatus.OPTIMAL_SOLUTION,14039.898166373609,0.0,17.224129643989727,18.032868765993044,results/GRID/7x7/tmax60_dt5/n7_h60_m2_r15/ab_LR,instances/GRID/7x7/network_disc5min.json,instances/GRID/7x7/taxi_like_requests_60maxmin_disc5min.json
