exp_id,model_name,num_Nw,seed,number,grid_nodes,horizon,dt,t_max,num_modules,Q,c_km,c_uns_taxi,num_requests,served,served_ratio,q_min,q_max,slack_min,depot,N_size,A_size,K_size,M_size,status,objective,mip_gap,solve_time_sec,total_time_sec,output_folder,network_path,requests_path
n3_h60_m2_r3,base,2,23,3,9,60,5,12,2,10,1.0,100,3,2,0.6666666666666666,1,3,30.0,0,9,24,3,2,JobSolveStatus.OPTIMAL_SOLUTION,117.47502493827727,0.0,0.09730527400097344,0.13932593500067014,results/GRID/3x3/tmax60_dt5/n3_h60_m2_r3/base,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_60maxmin_disc5min.json
n3_h60_m2_r3,LR,2,23,3,9,60,5,12,2,10,1.0,100,3,2,0.6666666666666666,1,3,30.0,0,9,24,3,2,JobSolveStatus.OPTIMAL_SOLUTION,109.66053757866439,0.0,0.03668399399612099,0.06757003600068856,results/GRID/3x3/tmax60_dt5/n3_h60_m2_r3/LR,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_60maxmin_disc5min.json
n3_h60_m2_r3,ab,2,23,3,9,60,5,12,2,10,1.0,100,3,3,1.0,1,3,30.0,0,9,24,3,2,JobSolveStatus.OPTIMAL_SOLUTION,19.807342419670363,0.0,0.13062763900961727,0.17872127699956764,results/GRID/3x3/tmax60_dt5/n3_h60_m2_r3/ab,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_60maxmin_disc5min.json
n3_h60_m2_r3,ab_LR,2,23,3,9,60,5,12,2,10,1.0,100,3,3,1.0,1,3,30.0,0,9,24,3,2,JobSolveStatus.OPTIMAL_SOLUTION,19.807342419670363,0.0,0.08711182100523729,0.14548767400265206,results/GRID/3x3/tmax60_dt5/n3_h60_m2_r3/ab_LR,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_60maxmin_disc5min.json
