exp_id,model_name,num_Nw,seed,number,grid_nodes,horizon,dt,t_max,num_modules,Q,c_km,c_uns_taxi,num_requests,served,served_ratio,q_min,q_max,slack_min,depot,N_size,A_size,K_size,M_size,status,objective,mip_gap,solve_time_sec,total_time_sec,output_folder,network_path,requests_path
n3_h100_m2_r20,base,6,23,3,9,100,5,20,2,10,1.0,100,20,9,0.45,1,3,30.0,0,9,24,20,2,JobSolveStatus.OPTIMAL_SOLUTION,1238.0609245552878,0.0,60.586721810977906,60.78066391099128,results/GRID/3x3/tmax100_dt5/n3_h100_m2_r20/base,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_100maxmin_disc5min.json
n3_h100_m2_r20,LR,6,23,3,9,100,5,20,2,10,1.0,100,20,9,0.45,1,3,30.0,0,9,24,20,2,JobSolveStatus.OPTIMAL_SOLUTION,1238.0609245552878,0.0,269.29215363398544,269.47668542401516,results/GRID/3x3/tmax100_dt5/n3_h100_m2_r20/LR,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_100maxmin_disc5min.json
n3_h100_m2_r20,ab,6,23,3,9,100,5,20,2,10,1.0,100,20,12,0.6,1,3,30.0,0,9,24,20,2,JobSolveStatus.OPTIMAL_SOLUTION,842.4608775022793,0.0,24.933498970989604,25.11098828300601,results/GRID/3x3/tmax100_dt5/n3_h100_m2_r20/ab,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_100maxmin_disc5min.json
n3_h100_m2_r20,ab_LR,6,23,3,9,100,5,20,2,10,1.0,100,20,12,0.6,1,3,30.0,0,9,24,20,2,JobSolveStatus.OPTIMAL_SOLUTION,842.4608775022793,0.0,264.82722795699374,265.05536110597313,results/GRID/3x3/tmax100_dt5/n3_h100_m2_r20/ab_LR,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_100maxmin_disc5min.json
