seed,number,grid_nodes,horizon,dt,t_max,num_modules,Q,c_km,c_uns_taxi,num_requests,served,served_ratio,q_min,q_max,slack_min,depot,N_size,A_size,K_size,M_size,status,objective,mip_gap,solve_time_sec,total_time_sec,output_folder,network_path,requests_path,exp_id
23,3,9,60,5,12,1,10,1.0,100,5,2,0.4,1,3,20.0,0,9,24,5,1,JobSolveStatus.OPTIMAL_SOLUTION,310.3651843254264,0.0,0.025821169001574162,0.0699842840040219,results/GRID/3x3/tmax60_dt5/run1,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_60maxmin_disc5min.json,1
23,3,9,60,5,12,3,10,1.0,100,5,3,0.6,1,3,20.0,0,9,24,5,3,JobSolveStatus.OPTIMAL_SOLUTION,219.1308373743973,0.0,0.2781401199972606,0.3315799980045995,results/GRID/3x3/tmax60_dt5/run2,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_60maxmin_disc5min.json,2
