exp_id,model_name,num_Nw,seed,number,grid_nodes,horizon,dt,t_max,num_modules,Q,c_km,c_uns_taxi,num_requests,served,served_ratio,q_min,q_max,slack_min,depot,N_size,A_size,K_size,M_size,status,objective,mip_gap,solve_time_sec,total_time_sec,output_folder,network_path,requests_path
n3_h60_m2_r15,base,2,23,3,9,60,5,12,2,10,1.0,100,15,12,0.8,1,3,30.0,0,9,24,15,2,JobSolveStatus.OPTIMAL_SOLUTION,417.181056571877,0.0,1.4827570189954713,1.5658011380000971,results/GRID/3x3/tmax60_dt5/n3_h60_m2_r15/base,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_60maxmin_disc5min.json
n3_h60_m2_r15,LR,2,23,3,9,60,5,12,2,10,1.0,100,15,12,0.8,1,3,30.0,0,9,24,15,2,JobSolveStatus.OPTIMAL_SOLUTION,417.181056571877,0.0,5.034617601020727,5.157896946009714,results/GRID/3x3/tmax60_dt5/n3_h60_m2_r15/LR,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_60maxmin_disc5min.json
n3_h60_m2_r15,ab,2,23,3,9,60,5,12,2,10,1.0,100,15,9,0.6,1,3,30.0,0,9,24,15,2,JobSolveStatus.OPTIMAL_SOLUTION,634.617203093555,0.0,0.7406647699826863,0.8186944609915372,results/GRID/3x3/tmax60_dt5/n3_h60_m2_r15/ab,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_60maxmin_disc5min.json
n3_h60_m2_r15,ab_LR,2,23,3,9,60,5,12,2,10,1.0,100,15,11,0.7333333333333333,1,3,30.0,0,9,24,15,2,JobSolveStatus.OPTIMAL_SOLUTION,627.6530549485267,0.0,4.438692858995637,4.514905229996657,results/GRID/3x3/tmax60_dt5/n3_h60_m2_r15/ab_LR,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_60maxmin_disc5min.json
