exp_id,model_name,num_Nw,seed,number,grid_nodes,horizon,dt,t_max,num_modules,Q,c_km,c_uns_taxi,num_requests,served,served_ratio,q_min,q_max,slack_min,depot,N_size,A_size,K_size,M_size,status,objective,mip_gap,solve_time_sec,total_time_sec,output_folder,network_path,requests_path
n4_h60_m2_r10,ab,3,23,4,16,60,5,12,2,10,1.0,100,10,3,0.3,1,10,20.0,0,16,48,10,2,JobSolveStatus.OPTIMAL_SOLUTION,832.4830017545279,0.0,0.5445895840000503,0.6319447810000156,results/GRID/4x4/tmax60_dt5/n4_h60_m2_r10/ab,instances/GRID/4x4/network_disc5min.json,instances/GRID/4x4/taxi_like_requests_60maxmin_disc5min.json
n4_h60_m2_r10,ab_plat,3,23,4,16,60,5,12,2,10,1.0,100,10,3,0.3,1,10,20.0,0,16,48,10,2,JobSolveStatus.OPTIMAL_SOLUTION,832.8078317720731,0.0,0.44918820200007303,0.5611475089999658,results/GRID/4x4/tmax60_dt5/n4_h60_m2_r10/ab_plat,instances/GRID/4x4/network_disc5min.json,instances/GRID/4x4/taxi_like_requests_60maxmin_disc5min.json
n4_h60_m2_r10,ab_LR,3,23,4,16,60,5,12,2,10,1.0,100,10,3,0.3,1,10,20.0,0,16,48,10,2,JobSolveStatus.OPTIMAL_SOLUTION,832.4830017545279,0.0,0.5817489480000404,0.6570114030000695,results/GRID/4x4/tmax60_dt5/n4_h60_m2_r10/ab_LR,instances/GRID/4x4/network_disc5min.json,instances/GRID/4x4/taxi_like_requests_60maxmin_disc5min.json
n4_h60_m2_r10,ab_LR_plat,3,23,4,16,60,5,12,2,10,1.0,100,10,3,0.3,1,10,20.0,0,16,48,10,2,JobSolveStatus.OPTIMAL_SOLUTION,832.8078317720731,0.0,0.9128690320000032,1.0119577689999915,results/GRID/4x4/tmax60_dt5/n4_h60_m2_r10/ab_LR_plat,instances/GRID/4x4/network_disc5min.json,instances/GRID/4x4/taxi_like_requests_60maxmin_disc5min.json
