exp_id,model_name,num_Nw,seed,number,grid_nodes,horizon,dt,t_max,num_modules,Q,c_km,c_uns_taxi,num_requests,served,served_ratio,q_min,q_max,slack_min,depot,N_size,A_size,K_size,M_size,status,objective,mip_gap,solve_time_sec,total_time_sec,output_folder,network_path,requests_path
n4_h60_m2_r10,base,2,23,4,16,60,5,12,2,10,1.0,100,10,4,0.4,1,3,30.0,0,16,48,10,2,JobSolveStatus.OPTIMAL_SOLUTION,732.4830017545279,0.0,1.735341317980783,1.8163629880000371,results/GRID/4x4/tmax60_dt5/n4_h60_m2_r10/base,instances/GRID/4x4/network_disc5min.json,instances/GRID/4x4/taxi_like_requests_60maxmin_disc5min.json
n4_h60_m2_r10,LR,2,23,4,16,60,5,12,2,10,1.0,100,10,4,0.4,1,3,30.0,0,16,48,10,2,JobSolveStatus.OPTIMAL_SOLUTION,732.4830017545279,0.0,1.970596472005127,2.069675292004831,results/GRID/4x4/tmax60_dt5/n4_h60_m2_r10/LR,instances/GRID/4x4/network_disc5min.json,instances/GRID/4x4/taxi_like_requests_60maxmin_disc5min.json
n4_h60_m2_r10,ab,2,23,4,16,60,5,12,2,10,1.0,100,10,5,0.5,1,3,30.0,0,16,48,10,2,JobSolveStatus.OPTIMAL_SOLUTION,731.6410456639418,0.0,0.3616235709923785,0.4843713559967,results/GRID/4x4/tmax60_dt5/n4_h60_m2_r10/ab,instances/GRID/4x4/network_disc5min.json,instances/GRID/4x4/taxi_like_requests_60maxmin_disc5min.json
n4_h60_m2_r10,ab_LR,2,23,4,16,60,5,12,2,10,1.0,100,10,5,0.5,1,3,30.0,0,16,48,10,2,JobSolveStatus.OPTIMAL_SOLUTION,731.6410456639419,0.0,1.926628298999276,2.000541557004908,results/GRID/4x4/tmax60_dt5/n4_h60_m2_r10/ab_LR,instances/GRID/4x4/network_disc5min.json,instances/GRID/4x4/taxi_like_requests_60maxmin_disc5min.json
