exp_id,model_name,num_Nw,seed,number,grid_nodes,horizon,dt,t_max,num_modules,Q,c_km,c_uns_taxi,num_requests,served,served_ratio,q_min,q_max,slack_min,depot,N_size,A_size,K_size,M_size,status,objective,mip_gap,solve_time_sec,total_time_sec,output_folder,network_path,requests_path
n3_h120_m2_r7,base,2,23,3,9,120,5,24,2,10,1.0,100,7,6,0.8571428571428571,1,5,30.0,0,9,24,7,2,JobSolveStatus.OPTIMAL_SOLUTION,126.90569291217173,0.0,0.2504131730001973,0.32330851199913013,results/GRID/3x3/tmax120_dt5/n3_h120_m2_r7/base,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_120maxmin_disc5min.json
n3_h120_m2_r7,base_relax,2,23,3,9,120,5,24,2,10,1.0,100,7,6,0.8571428571428571,1,5,30.0,0,9,24,7,2,JobSolveStatus.OPTIMAL_SOLUTION,126.90569291217173,0.0,0.32752775399967504,0.41563334799866425,results/GRID/3x3/tmax120_dt5/n3_h120_m2_r7/base_relax,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_120maxmin_disc5min.json
n3_h120_m2_r7,LR,2,23,3,9,120,5,24,2,10,1.0,100,7,6,0.8571428571428571,1,5,30.0,0,9,24,7,2,JobSolveStatus.OPTIMAL_SOLUTION,126.90569291217173,0.0,0.5691721080002026,0.6345189010007743,results/GRID/3x3/tmax120_dt5/n3_h120_m2_r7/LR,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_120maxmin_disc5min.json
n3_h120_m2_r7,LR_relax,2,23,3,9,120,5,24,2,10,1.0,100,7,6,0.8571428571428571,1,5,30.0,0,9,24,7,2,JobSolveStatus.OPTIMAL_SOLUTION,126.90569291217173,0.0,0.6065685660014424,0.7783896840010129,results/GRID/3x3/tmax120_dt5/n3_h120_m2_r7/LR_relax,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_120maxmin_disc5min.json
n3_h120_m2_r7,ab,2,23,3,9,120,5,24,2,10,1.0,100,7,7,1.0,1,5,30.0,0,9,24,7,2,JobSolveStatus.OPTIMAL_SOLUTION,57.33577047571498,0.0,1.0950656549994164,1.1629931739989843,results/GRID/3x3/tmax120_dt5/n3_h120_m2_r7/ab,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_120maxmin_disc5min.json
n3_h120_m2_r7,ab_relax,2,23,3,9,120,5,24,2,10,1.0,100,7,7,1.0,1,5,30.0,0,9,24,7,2,JobSolveStatus.OPTIMAL_SOLUTION,57.33577047571498,0.0,1.0548224730009679,1.1217437659997813,results/GRID/3x3/tmax120_dt5/n3_h120_m2_r7/ab_relax,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_120maxmin_disc5min.json
n3_h120_m2_r7,ab_LR,2,23,3,9,120,5,24,2,10,1.0,100,7,7,1.0,1,5,30.0,0,9,24,7,2,JobSolveStatus.OPTIMAL_SOLUTION,57.33577047571487,0.0,1.2481376249997993,1.3128379469999345,results/GRID/3x3/tmax120_dt5/n3_h120_m2_r7/ab_LR,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_120maxmin_disc5min.json
n3_h120_m2_r7,ab_LR_relax,2,23,3,9,120,5,24,2,10,1.0,100,7,7,1.0,1,5,30.0,0,9,24,7,2,JobSolveStatus.OPTIMAL_SOLUTION,57.33577047571487,0.0,1.2607528589996946,1.3579896770006599,results/GRID/3x3/tmax120_dt5/n3_h120_m2_r7/ab_LR_relax,instances/GRID/3x3/network_disc5min.json,instances/GRID/3x3/taxi_like_requests_120maxmin_disc5min.json
