exp_id,model_name,num_Nw,seed,number,grid_nodes,horizon,dt,t_max,num_modules,Q,c_km,c_uns_taxi,num_requests,served,served_ratio,q_min,q_max,slack_min,depot,N_size,A_size,K_size,M_size,status,objective,mip_gap,solve_time_sec,total_time_sec,output_folder,network_path,requests_path
n5_h60_m3_r10,ab,4,23,5,25,60,3,20,3,10,1.0,100,10,6,0.6,1,10,20.0,0,25,80,10,3,JobSolveStatus.OPTIMAL_SOLUTION,651.4541779132348,8.168762443103749e-07,489.01670401399315,489.3166990989994,results/GRID/5x5/tmax60_dt3/n5_h60_m3_r10/ab,instances/GRID/5x5/network_disc3min.json,instances/GRID/5x5/taxi_like_requests_60maxmin_disc3min.json
n5_h60_m3_r10,ab_LR,4,23,5,25,60,3,20,3,10,1.0,100,10,6,0.6,1,10,20.0,0,25,80,10,3,JobSolveStatus.OPTIMAL_SOLUTION,651.4541779132346,5.078031875746905e-07,958.7657942549995,958.9750702760066,results/GRID/5x5/tmax60_dt3/n5_h60_m3_r10/ab_LR,instances/GRID/5x5/network_disc3min.json,instances/GRID/5x5/taxi_like_requests_60maxmin_disc3min.json
